,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2019 12 11 01 00,6,2,0,1,1,2
2019 12 11 02 00,6,2,0,1,1,2
2019 12 11 03 00,4,3,0,1,1,2
2019 12 11 04 00,4,3,0,1,1,2
2019 12 11 05 00,4,3,0,1,1,2
2019 12 11 06 00,4,3,0,1,1,2
2019 12 11 07 00,4,3,0,1,1,2
2019 12 11 08 00,4,3,0,1,1,2
2019 12 11 09 00,4,3,0,1,1,2
2019 12 11 10 00,4,3,0,1,1,2
2019 12 11 11 00,4,3,0,1,1,2
2019 12 11 12 00,4,3,0,1,1,2
2019 12 11 13 00,4,6,7,0,0,0
2019 12 11 14 00,51,6,9,1,1,2
2019 12 11 15 00,52,6,13,0,0,0
2019 12 11 16 00,52,6,13,0,0,0
2019 12 11 17 00,51,6,9,1,1,2
2019 12 11 18 00,51,6,9,1,1,2
2019 12 11 19 00,40,6,9,1,0,1
2019 12 11 20 00,40,6,7,1,1,2
2019 12 11 21 00,4,3,7,1,0,1
2019 12 11 22 00,4,3,0,1,1,2
2019 12 11 23 00,4,3,0,1,1,2
2019 12 12 00 00,4,3,0,1,1,2
2019 12 12 01 00,4,3,0,1,1,2
2019 12 12 02 00,4,3,0,1,1,2
2019 12 12 03 00,0,3,7,0,0,0
2019 12 12 04 00,0,2,0,0,1,1
2019 12 12 05 00,0,3,0,0,1,1
2019 12 12 06 00,4,3,0,1,1,2
2019 12 12 07 00,4,3,0,1,1,2
2019 12 12 08 00,4,2,0,0,1,1
2019 12 12 09 00,0,1,0,1,1,2
2019 12 12 10 00,0,1,0,1,1,2
2019 12 12 11 00,0,1,0,1,1,2
2019 12 12 12 00,0,1,0,1,1,2
2019 12 12 13 00,0,2,0,0,1,1
2019 12 12 14 00,0,2,0,0,1,1
2019 12 12 15 00,0,1,0,1,1,2
2019 12 12 16 00,6,2,0,1,1,2
2019 12 12 17 00,6,2,0,1,1,2
2019 12 12 18 00,4,3,0,1,1,2
2019 12 12 19 00,4,3,0,1,1,2
2019 12 12 20 00,4,3,0,1,1,2
2019 12 12 21 00,4,3,9,1,0,1
2019 12 12 22 00,40,6,13,1,0,1
2019 12 12 23 00,40,6,9,1,0,1
2019 12 13 00 00,4,3,0,1,1,2
