,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2020 03 06 01 00,0,1,2296,2,13762,0,36,7,7813,1,3426,2,13834,0,72,7,7813,1,1,1,1,4
2020 03 06 02 00,0,1,816,2,15120,0,0,7,7849,1,1190,2,15154,0,0,7,7849,1,1,1,1,4
2020 03 06 03 00,0,1,5582,2,16136,0,0,7,7849,1,7513,2,16996,0,0,7,7849,1,1,1,1,4
2020 03 06 04 00,0,1,78,2,15634,0,0,7,7849,1,115,2,15636,0,0,7,7849,1,1,1,1,4
2020 03 06 05 00,0,1,4,2,15698,0,3,7,7851,1,6,2,15699,0,5,7,7851,1,1,1,1,4
2020 03 06 06 00,0,1,1046,2,15446,0,90,7,7916,1,1471,2,15571,0,144,7,7916,1,1,1,1,4
2020 03 06 07 00,0,1,6258,2,12601,0,120,7,7939,1,8956,2,13068,0,192,7,7939,1,1,1,1,4
2020 03 06 08 00,6,2,10107,1,15424,0,174,7,7979,2,11534,4,20097,0,278,7,7979,1,1,1,1,4
2020 03 06 09 00,4,2,13213,4,14971,0,100,7,7924,4,14971,5,15001,0,160,7,7924,0,1,0,1,2
2020 03 06 10 00,4,3,8682,4,11210,0,0,7,7849,3,8682,4,11210,0,0,7,7849,1,1,1,1,4
2020 03 06 11 00,4,3,159,4,7902,0,0,7,7849,3,159,4,7902,0,0,7,7849,1,1,1,1,4
2020 03 06 12 00,4,3,51,4,7866,0,0,7,7849,3,51,4,7866,0,0,7,7849,1,1,1,1,4
2020 03 06 13 00,4,3,1347,4,9467,0,501,7,7348,3,1848,4,10469,0,1002,7,7348,1,1,1,1,4
2020 03 06 14 00,4,3,4932,4,12461,0,1314,7,6780,3,6159,4,14845,0,2541,7,6850,1,1,1,1,4
2020 03 06 15 00,4,3,7622,4,13604,0,1155,7,6700,3,8775,4,15908,0,2308,7,6702,1,1,1,1,4
2020 03 06 16 00,4,3,16426,4,19476,0,2293,7,6432,3,18408,4,23190,0,4275,7,6682,1,1,1,1,4
2020 03 06 17 00,4,3,14250,4,19735,0,4359,7,7240,3,17277,6,20977,0,7386,7,8310,1,1,1,1,4
2020 03 06 18 00,4,3,13537,6,16744,0,6678,7,7708,3,17865,6,18554,7,9600,0,11006,1,1,1,0,3
2020 03 06 19 00,40,3,12147,6,13720,0,5901,7,6340,6,14902,3,16476,7,7608,0,10230,0,0,1,1,2
2020 03 06 20 00,4,3,7730,6,13185,0,4114,7,6532,3,10830,6,13943,0,7214,7,7350,1,1,1,1,4
2020 03 06 21 00,4,3,9772,6,12779,0,3286,7,4941,6,12887,3,12924,7,5049,0,6438,1,1,0,0,2
2020 03 06 22 00,4,3,8263,6,14693,0,2240,7,5636,3,10494,6,14701,0,4471,7,5644,1,1,1,1,4
2020 03 06 23 00,4,3,8658,4,14495,0,1330,7,6539,3,9981,4,17135,0,2653,7,6545,1,1,1,1,4
2020 03 07 00 00,4,3,9249,4,13959,0,942,7,6907,3,10191,4,15843,0,1884,7,6907,1,1,1,1,4
2020 03 07 01 00,4,3,8585,4,15756,0,2000,7,5959,3,10541,6,16003,0,3975,7,5959,1,1,1,1,4
2020 03 07 02 00,4,3,6216,6,14050,0,2299,7,6181,3,8262,6,14050,0,4453,7,6181,1,1,1,1,4
2020 03 07 03 00,4,3,6501,6,11517,0,3112,7,5479,3,9320,6,11547,7,5509,0,6040,1,1,1,0,3
2020 03 07 04 00,4,3,13652,4,18312,0,2663,7,6139,3,15932,6,19855,0,5106,7,6139,1,1,1,1,4
2020 03 07 05 00,4,4,18577,3,18768,0,1821,7,7408,3,20035,4,20639,0,3324,7,7408,0,1,1,1,3
2020 03 07 06 00,4,4,11565,3,11573,0,4865,7,11014,4,12113,3,13200,0,7845,7,11014,0,1,0,1,2
2020 03 07 07 00,31,4,5948,3,7908,0,12375,1,15106,4,5992,5,9528,30,15174,1,15669,1,0,1,0,2
2020 03 07 08 00,31,4,8688,5,12542,0,14378,1,14967,4,8728,5,12582,30,15023,1,16118,1,0,1,0,2
2020 03 07 09 00,4,2,11898,4,12166,0,7410,7,13644,4,12210,5,14029,0,11026,7,13644,0,1,0,1,2
2020 03 07 10 00,6,2,8149,4,17112,0,2096,7,9463,2,9834,4,17114,0,3207,7,9463,1,1,1,1,4
2020 03 07 11 00,3,3,10018,4,11894,0,5,7,7844,3,10023,4,11904,0,10,7,7844,1,1,1,1,4
2020 03 07 12 00,4,3,6645,4,10064,0,0,7,7849,3,6645,4,10064,0,0,7,7849,1,1,1,1,4
2020 03 07 13 00,4,3,1041,4,8196,0,0,7,7849,3,1041,4,8196,0,0,7,7849,1,1,1,1,4
2020 03 07 14 00,4,3,0,4,7849,0,0,7,7849,3,0,4,7849,0,0,7,7849,1,1,1,1,4
2020 03 07 15 00,4,3,603,4,8063,0,0,7,7849,3,603,4,8063,0,0,7,7849,1,1,1,1,4
2020 03 07 16 00,4,3,1331,4,9828,0,658,7,7191,3,1989,4,11144,0,1316,7,7191,1,1,1,1,4
2020 03 07 17 00,4,3,638,4,8806,0,319,7,7530,3,957,4,9444,0,638,7,7530,1,1,1,1,4
2020 03 07 18 00,4,3,0,4,7849,0,0,7,7849,3,0,4,7849,0,0,7,7849,1,1,1,1,4
2020 03 07 19 00,4,3,598,4,8746,0,299,7,7550,3,897,4,9344,0,598,7,7550,1,1,1,1,4
2020 03 07 20 00,4,3,66,4,7923,0,61,7,7846,3,104,4,7979,0,109,7,7846,1,1,1,1,4
