,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2020 01 26 01 00,33,4,4280,5,11022,2,11861,3,13244,4,4520,5,11262,3,13488,30,14765,1,0,1,1,3
2020 01 26 02 00,33,4,6327,5,12525,2,13345,30,14971,4,6631,5,12829,30,14971,2,16100,1,0,1,0,2
2020 01 26 03 00,32,4,10216,5,15002,1,17059,30,17070,4,10486,5,15272,30,17070,2,19944,1,0,1,0,2
2020 01 26 04 00,4,4,10175,5,13047,0,12580,7,18140,4,10175,5,13047,7,18140,0,18324,0,1,0,0,1
2020 01 26 05 00,4,3,2859,4,7508,0,5813,7,12327,3,4497,4,7796,0,8945,7,12327,1,1,1,1,4
2020 01 26 06 00,4,3,6890,6,14065,0,6661,7,8838,3,10657,6,14775,7,9548,0,11213,1,1,1,0,3
2020 01 26 07 00,4,3,8366,6,12364,0,7150,7,7916,3,12834,6,13308,7,8860,0,12188,1,1,1,0,3
2020 01 26 08 00,4,3,2820,4,9233,0,5570,7,11158,3,4817,4,10723,0,8741,7,11314,1,1,1,1,4
2020 01 26 09 00,4,3,4112,4,12915,0,3718,7,8401,3,6307,6,15518,0,6191,7,9053,1,1,1,1,4
2020 01 26 10 00,4,3,15425,6,16834,7,13001,0,15175,6,21870,12,22625,20,17337,7,18226,1,0,0,0,1
2020 01 26 11 00,40,6,1458,3,15645,7,1012,0,8258,6,1758,7,16953,7,1353,9,10271,1,1,1,1,4
2020 01 26 12 00,40,6,7405,3,18330,7,7481,9,12792,6,10273,8,22912,7,11114,13,14674,1,1,1,1,4
2020 01 26 13 00,52,6,14179,8,16410,27,12574,10,12581,8,20460,14,20742,27,12574,19,13702,0,0,1,0,1
2020 01 26 14 00,40,6,9456,8,18601,7,11301,9,12167,6,13508,8,21511,13,13875,20,14529,1,1,1,0,3
2020 01 26 15 00,40,6,10204,3,18435,7,11038,9,12891,6,13533,8,24313,13,14295,9,14995,1,1,1,0,3
2020 01 26 16 00,40,3,11090,6,11887,7,8558,0,10095,6,13113,3,17134,7,9895,9,16491,0,1,1,1,3
2020 01 26 17 00,4,3,3908,4,9610,0,7191,7,11978,3,6658,4,11560,0,11533,7,12344,1,1,1,1,4
2020 01 26 18 00,4,3,3292,4,6504,0,10245,7,15456,3,6232,4,7150,7,15514,0,15773,1,1,1,0,3
2020 01 26 19 00,4,3,2767,4,7337,0,7474,7,13436,3,4902,4,7921,0,11394,7,13552,1,1,1,1,4
2020 01 26 20 00,4,3,5803,4,13573,0,3879,7,8532,3,8053,4,16741,0,6461,7,9200,1,1,1,1,4
2020 01 26 21 00,4,3,10884,4,15641,0,2102,7,7731,3,12346,4,18041,0,3647,7,8089,1,1,1,1,4
2020 01 26 22 00,4,3,3721,4,11105,0,2081,7,8412,3,4887,4,12691,0,3460,7,8732,1,1,1,1,4
2020 01 26 23 00,4,3,21178,12,23861,0,10072,7,10845,12,23861,3,26653,7,14245,0,15702,1,1,0,0,2
2020 01 27 00 00,0,2,19933,1,21055,0,7067,7,10433,12,23273,2,24880,0,10961,7,12719,0,1,0,1,2
2020 01 27 01 00,0,2,15125,4,20629,0,2234,7,8674,2,18786,4,22213,0,3534,7,9314,0,1,0,1,2
2020 01 27 02 00,6,2,11816,4,11952,0,888,7,8740,4,11976,5,12244,0,1413,7,8742,1,1,0,1,3
2020 01 27 03 00,4,3,9637,4,11301,0,13,7,8104,3,9641,4,11301,0,21,7,8104,1,1,1,1,4
2020 01 27 04 00,4,3,549,4,8273,0,10,7,8101,3,552,4,8273,0,16,7,8101,1,1,1,1,4
2020 01 27 05 00,4,3,2647,4,10665,0,2611,7,9364,3,3872,4,11997,0,3867,7,10420,1,1,1,1,4
2020 01 27 06 00,4,3,3736,4,12057,0,3912,7,9861,3,5617,4,14203,0,5831,7,11419,1,1,1,1,4
2020 01 27 07 00,4,3,3418,4,11801,0,3500,7,9630,3,5130,4,13783,0,5218,7,11060,1,1,1,1,4
2020 01 27 08 00,4,3,2338,4,10627,0,2404,7,9117,3,3507,4,12015,0,3597,7,10055,1,1,1,1,4
2020 01 27 09 00,4,3,19286,6,19714,7,17582,17,18178,14,22655,16,23630,19,19236,21,19254,1,0,0,0,1
2020 01 27 10 00,40,6,19854,3,22669,13,20989,9,20990,14,24448,16,25205,19,22935,21,22935,1,0,0,0,1
2020 01 27 11 00,4,8,20309,6,20670,13,23228,9,23237,17,23741,8,23804,27,23883,19,25631,0,0,0,0,0
2020 01 27 12 00,40,6,11039,8,15453,9,14500,13,14529,6,15373,8,17193,13,15771,20,17240,1,0,1,0,2
2020 01 27 13 00,40,6,14545,8,15063,13,17924,9,17937,8,17844,6,20691,27,17939,15,20573,1,0,0,0,1
2020 01 27 14 00,40,6,11727,8,14944,9,15742,13,15758,6,17088,8,17603,13,17430,27,18373,1,0,1,0,2
