,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2020 01 26 01 00,4,3,15542,6,17284,7,18395,0,19887,6,20860,3,22991,7,23294,20,23547,1,0,0,0,1
2020 01 26 02 00,40,3,17169,6,17591,7,18986,9,20842,6,21952,17,24642,20,23036,17,23880,0,1,1,0,2
2020 01 26 03 00,4,3,12555,6,15941,7,16226,0,16464,6,18394,3,19076,7,19588,13,20244,1,0,0,0,1
2020 01 26 04 00,4,3,9817,6,12498,7,11495,0,11818,6,13940,3,15036,7,13798,13,17205,1,0,0,0,1
2020 01 26 05 00,4,3,10890,6,14140,7,13357,0,13798,6,16042,3,16755,7,16114,13,18392,1,0,0,0,1
2020 01 26 06 00,4,3,12751,6,16154,7,15118,0,15835,6,18469,3,19081,13,18689,7,18936,1,0,0,0,1
2020 01 26 07 00,4,3,10546,6,14560,7,13495,0,13570,3,16027,6,16285,7,16302,13,18487,1,0,1,0,2
2020 01 26 08 00,4,3,8329,4,13927,0,10253,7,12053,3,12475,6,16513,7,13768,0,15613,1,1,1,0,3
2020 01 26 09 00,4,3,4866,4,10359,0,8321,7,11616,3,7914,4,12966,7,12653,0,12703,1,1,1,0,3
2020 01 26 10 00,4,3,2994,4,8152,0,5986,7,10701,3,5012,4,9492,0,9149,7,11125,1,1,1,1,4
2020 01 26 11 00,4,3,1348,4,7088,0,3453,7,9263,3,2404,4,7630,0,5273,7,9305,1,1,1,1,4
2020 01 26 12 00,4,3,1413,4,7975,0,2459,7,8121,3,2352,4,8923,0,3863,7,8121,1,1,1,1,4
2020 01 26 13 00,4,3,1060,4,7634,0,1850,7,7883,3,1765,4,8290,0,2932,7,7883,1,1,1,1,4
2020 01 26 14 00,4,3,577,4,6944,0,1323,7,7961,3,937,4,7060,0,1985,7,7961,1,1,1,1,4
2020 01 26 15 00,4,3,4462,4,8600,0,867,7,7703,3,4670,4,8600,0,1283,7,7703,1,1,1,1,4
2020 01 26 16 00,4,3,10648,4,11481,0,1400,7,8151,3,10949,4,11481,0,2002,7,8151,1,1,1,1,4
2020 01 26 17 00,0,2,13300,1,14560,0,2727,7,9204,2,15538,4,18384,0,3955,7,9204,0,1,0,1,2
2020 01 26 18 00,0,1,8100,2,13348,0,4399,7,10547,1,11654,2,14829,0,6369,7,10547,1,1,1,1,4
2020 01 26 19 00,0,1,8306,2,13856,0,5036,7,11016,1,11973,2,15523,0,7398,7,11016,1,1,1,1,4
2020 01 26 20 00,0,1,7198,2,13643,0,5053,7,11003,1,10522,2,15138,0,7493,7,11003,1,1,1,1,4
2020 01 26 21 00,0,1,6864,2,13812,0,4103,7,10213,1,9944,2,15208,0,6191,7,10213,1,1,1,1,4
2020 01 26 22 00,0,1,6036,2,13728,0,3781,7,9968,1,8782,2,14956,0,5693,7,9968,1,1,1,1,4
2020 01 26 23 00,0,1,7282,2,12014,0,3887,7,10059,1,10727,2,13182,0,5831,7,10059,1,1,1,1,4
2020 01 27 00 00,6,2,7906,1,11224,0,4529,7,10590,2,9103,1,16734,0,6719,7,10590,1,1,1,1,4
2020 01 27 01 00,0,1,9692,2,12278,0,5485,7,11417,2,13939,1,14108,0,7947,7,11417,1,1,0,1,3
2020 01 27 02 00,6,2,5396,4,12144,0,5250,7,11261,2,7218,4,12144,0,7522,7,11261,1,1,1,1,4
2020 01 27 03 00,6,2,4154,4,11354,0,4752,7,10901,2,5863,4,11354,0,6698,7,10901,1,1,1,1,4
2020 01 27 04 00,6,2,7048,4,10424,0,4742,7,10911,2,9713,4,10424,0,6636,7,10911,1,1,1,1,4
2020 01 27 05 00,4,3,2107,4,6439,0,4804,7,10960,3,3068,4,6439,0,6726,7,10960,1,1,1,1,4
2020 01 27 06 00,4,3,1058,4,6048,0,5203,7,11326,3,2050,4,6048,0,7187,7,11326,1,1,1,1,4
2020 01 27 07 00,4,3,5368,4,7246,0,6244,7,12203,3,6539,4,7246,0,8586,7,12203,1,1,1,1,4
2020 01 27 08 00,4,4,8485,3,9693,0,7141,7,12960,4,8485,5,9808,0,9787,7,12960,0,1,0,1,2
2020 01 27 09 00,4,3,2421,4,5657,0,8753,7,14298,3,4047,4,5657,0,12005,7,14298,1,1,1,1,4
2020 01 27 10 00,4,3,2890,4,5448,0,10039,7,15341,3,4790,4,5448,0,13839,7,15341,1,1,1,1,4
2020 01 27 11 00,4,3,2871,4,5379,0,9944,7,15210,3,4818,4,5379,0,13838,7,15210,1,1,1,1,4
2020 01 27 12 00,4,3,5814,4,6360,0,9470,7,14748,4,6360,3,7761,0,13364,7,14748,1,1,0,1,3
2020 01 27 13 00,4,3,1967,4,5107,0,8822,7,14131,3,3892,4,5107,0,12672,7,14131,1,1,1,1,4
2020 01 27 14 00,4,3,2051,4,4979,0,8676,7,13896,3,4093,4,4979,0,12760,7,13896,1,1,1,1,4
2020 01 27 15 00,4,3,2335,4,4683,0,9482,7,14458,3,4670,4,4683,0,14152,7,14458,1,1,1,1,4
2020 01 27 16 00,4,3,2000,4,5018,0,7327,7,12623,3,4000,4,5018,0,11327,7,12623,1,1,1,1,4
2020 01 27 17 00,4,3,1734,4,5520,0,5824,7,11497,3,3291,4,5520,0,8938,7,11497,1,1,1,1,4
2020 01 27 18 00,4,3,1483,4,5930,0,5244,7,10953,3,2887,4,6088,0,7973,7,10953,1,1,1,1,4
2020 01 27 19 00,4,3,2580,4,8128,0,5176,7,9754,3,4422,4,9604,0,8122,7,9754,1,1,1,1,4
2020 01 27 20 00,4,3,4325,6,11004,0,3728,7,6478,3,6703,6,11004,0,6537,7,6566,1,1,1,1,4
2020 01 27 21 00,40,6,5870,3,8878,7,3092,0,4767,6,5872,3,13300,7,3094,0,9320,1,1,1,1,4
2020 01 27 22 00,4,3,12095,4,13098,0,4000,7,8826,3,13666,4,14562,0,6410,7,8826,1,1,1,1,4
2020 01 27 23 00,0,1,9787,2,13777,0,6134,7,11800,1,14194,2,15791,0,9139,7,11800,1,1,1,1,4
2020 01 28 00 00,0,2,11457,1,13516,0,9564,7,14690,2,13937,4,15573,0,13846,7,14690,0,1,0,1,2
