,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2020 01 26 01 00,4,3,9085,4,12847,0,1885,7,10370,3,9736,4,13301,0,2866,7,10489,1,1,1,1,4
2020 01 26 02 00,4,3,9221,4,16012,0,4840,7,11297,3,11471,4,18650,0,7236,7,12916,1,1,1,1,4
2020 01 26 03 00,4,3,9292,4,19767,0,8362,7,11898,3,13268,6,22118,0,12644,7,14693,1,1,1,1,4
2020 01 26 04 00,4,3,10760,6,15766,0,9761,7,10113,3,16097,6,18114,7,13093,0,15413,1,1,1,0,3
2020 01 26 05 00,4,3,10764,6,14104,7,9233,0,9719,6,16213,3,16238,7,12062,13,15458,1,0,0,0,1
2020 01 26 06 00,40,6,10769,3,13636,7,8362,0,12087,6,12900,7,17518,7,11779,13,13169,1,1,1,1,4
2020 01 26 07 00,40,6,10250,3,14615,7,7894,0,12635,6,12387,7,17811,7,10881,13,13366,1,1,1,1,4
2020 01 26 08 00,40,6,11172,3,13880,7,7633,0,11541,6,13139,7,18886,7,9664,13,14732,1,1,1,1,4
2020 01 26 09 00,40,3,11282,6,13622,7,9340,0,10622,6,15177,3,17314,7,11059,13,16897,0,1,1,1,3
2020 01 26 10 00,4,3,7623,6,17100,0,8453,7,10923,3,11873,6,18326,7,12110,0,13565,1,1,1,0,3
2020 01 26 11 00,4,3,6487,4,17053,0,7203,7,10734,3,10042,6,18355,0,11502,7,11713,1,1,1,1,4
2020 01 26 12 00,4,3,7512,6,18080,0,7675,7,10994,3,11277,6,19636,0,11990,7,12679,1,1,1,1,4
2020 01 26 13 00,4,3,13340,6,17252,7,10621,0,11207,3,19641,6,20187,7,13699,0,17754,1,0,1,0,2
2020 01 26 14 00,4,3,13995,6,19350,0,9598,7,9955,3,19287,6,21667,7,12440,0,15290,1,1,1,0,3
2020 01 26 15 00,4,3,8325,6,18485,0,8405,7,11152,3,12363,6,20071,7,12733,0,13153,1,1,1,0,3
2020 01 26 16 00,4,3,4458,4,13873,0,6966,7,12651,3,7023,4,16691,0,10394,7,13903,1,1,1,1,4
2020 01 26 17 00,4,3,7319,4,13068,0,5786,7,13120,3,9124,4,14234,0,8443,7,13952,1,1,1,1,4
2020 01 26 18 00,4,3,16065,4,16273,0,4000,7,11944,4,17083,3,17331,0,5830,7,12578,1,1,0,1,3
2020 01 26 19 00,4,2,17831,4,20345,0,4005,7,11046,4,22189,5,23030,0,6111,7,11787,0,1,0,1,2
2020 01 26 20 00,0,2,21192,1,23719,0,3458,7,10128,2,25756,12,29413,0,5514,7,10778,0,1,0,1,2
2020 01 26 21 00,0,2,21497,1,25182,0,2107,7,9153,2,26197,4,28113,0,3622,7,9207,0,1,0,1,2
2020 01 26 22 00,0,2,22300,4,24022,0,2316,7,9447,4,25830,5,27085,0,3936,7,9475,0,1,0,1,2
2020 01 26 23 00,0,1,16754,2,18779,0,2234,7,9746,2,21776,1,23541,0,3703,7,9788,1,1,0,1,3
2020 01 27 00 00,6,2,10542,1,19937,0,1801,7,10597,2,12464,4,21529,0,2730,7,10597,1,1,1,1,4
2020 01 27 01 00,6,2,6056,4,17922,0,1698,7,10580,2,7711,4,17922,0,2524,7,10580,1,1,1,1,4
2020 01 27 02 00,6,2,7046,4,15672,0,1966,7,10780,2,9511,4,15672,0,2952,7,10780,1,1,1,1,4
2020 01 27 03 00,6,4,12991,5,13648,0,2712,7,11382,4,12991,5,13648,0,4026,7,11382,0,1,0,1,2
2020 01 27 04 00,4,3,5691,4,10031,0,3693,7,12149,3,6594,4,10031,0,5499,7,12149,1,1,1,1,4
2020 01 27 05 00,4,3,2332,4,8621,0,4571,7,12846,3,3440,4,8621,0,6787,7,12846,1,1,1,1,4
2020 01 27 06 00,4,3,1651,4,8547,0,4004,7,12399,3,2621,4,8547,0,5944,7,12399,1,1,1,1,4
2020 01 27 07 00,4,3,1810,4,8961,0,2896,7,11527,3,2510,4,8961,0,4296,7,11527,1,1,1,1,4
2020 01 27 08 00,4,3,712,4,8811,0,2113,7,10914,3,1217,4,8811,0,3123,7,10914,1,1,1,1,4
2020 01 27 09 00,4,3,576,4,8932,0,1484,7,10398,3,954,4,8932,0,2240,7,10398,1,1,1,1,4
2020 01 27 10 00,4,3,203,4,9100,0,574,7,9681,3,361,4,9100,0,890,7,9681,1,1,1,1,4
2020 01 27 11 00,4,3,80,4,9215,0,149,7,9357,3,121,4,9215,0,231,7,9357,1,1,1,1,4
2020 01 27 12 00,4,3,75,4,9236,0,84,7,9307,3,99,4,9236,0,132,7,9307,1,1,1,1,4
2020 01 27 13 00,4,3,253,4,9447,0,163,7,9255,3,342,4,9577,0,276,7,9255,1,1,1,1,4
2020 01 27 14 00,4,3,68,4,9249,0,156,7,9339,3,119,4,9277,0,244,7,9339,1,1,1,1,4
2020 01 27 15 00,4,3,208,4,9087,0,661,7,9757,3,377,4,9087,0,999,7,9757,1,1,1,1,4
2020 01 27 16 00,4,3,406,4,9025,0,1031,7,10043,3,671,4,9025,0,1561,7,10043,1,1,1,1,4
2020 01 27 17 00,4,3,493,4,8750,0,1925,7,10740,3,986,4,8750,0,2911,7,10740,1,1,1,1,4
2020 01 27 18 00,4,3,718,4,8541,0,2946,7,11570,3,1424,4,8541,0,4358,7,11570,1,1,1,1,4
2020 01 27 19 00,4,3,1481,4,10040,0,2879,7,10760,3,2496,4,10920,0,4443,7,10812,1,1,1,1,4
2020 01 27 20 00,4,3,6506,4,17110,0,6895,7,11220,3,9964,6,19913,0,10757,7,12941,1,1,1,1,4
2020 01 27 21 00,40,6,13719,3,16936,7,9699,0,14073,6,17657,7,23326,7,13553,13,16972,1,1,1,1,4
2020 01 27 22 00,4,6,15050,3,15863,7,13224,9,15420,6,19053,7,20313,13,17827,7,18545,0,0,0,0,0
2020 01 27 23 00,4,3,11717,6,20284,0,9683,7,11863,3,15965,7,21571,7,14445,0,14751,1,1,1,0,3
2020 01 28 00 00,4,3,8756,4,18453,0,6842,7,11187,3,12039,4,23027,0,10412,7,12971,1,1,1,1,4
