,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2020 03 06 01 00,4,3,11912,6,16699,0,4096,7,6386,3,14739,6,17241,7,6928,0,7088,1,1,1,0,3
2020 03 06 02 00,40,3,12240,6,12456,7,5826,0,6175,6,13432,3,16591,7,6902,0,10663,0,1,1,1,3
2020 03 06 03 00,40,6,10523,3,10670,7,4329,0,4422,6,10593,3,14441,7,4398,0,8343,1,1,1,1,4
2020 03 06 04 00,40,3,20435,6,22363,0,3429,7,5281,6,22611,3,23281,7,5529,0,6349,0,0,1,1,2
2020 03 06 05 00,4,3,4817,4,10269,0,703,7,7029,3,5329,4,11143,0,1229,7,7151,1,1,1,1,4
2020 03 06 06 00,72,6,15551,3,16944,7,12226,9,13904,12,17252,6,21493,20,14694,21,16644,0,0,1,0,1
2020 03 06 07 00,40,6,13732,3,16137,7,10573,9,13391,6,18636,12,19196,20,14502,7,15503,1,1,1,0,3
2020 03 06 08 00,40,6,9809,3,16116,7,4622,0,8413,6,11305,7,21425,7,6120,9,12111,1,1,1,1,4
2020 03 06 09 00,4,3,7247,6,10331,0,4854,7,5908,3,10787,6,11196,7,6854,0,8434,1,1,1,0,3
2020 03 06 10 00,40,6,7721,3,8800,7,4227,0,5284,6,8333,3,13221,7,4823,0,9731,1,1,1,1,4
2020 03 06 11 00,40,6,7279,3,13431,7,5423,0,9681,6,9232,7,18873,7,7636,13,12013,1,1,1,1,4
2020 03 06 12 00,40,6,4541,3,15457,7,4489,9,9117,6,6267,7,17237,7,7029,13,9802,1,1,1,1,4
2020 03 06 13 00,40,6,5240,7,15940,7,6163,9,9000,6,7745,7,17880,7,9837,13,10186,1,1,1,1,4
