,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2019 12 14 01 00,40,3,15918,6,16006,0,6491,7,6961,6,16730,3,19987,7,8653,0,10684,0,0,1,1,2
2019 12 14 02 00,40,3,19713,6,21041,0,6520,7,7622,6,21462,3,23313,7,8927,0,10516,0,0,1,1,2
2019 12 14 03 00,40,3,21331,2,21606,0,4554,7,6647,6,24112,3,24227,0,7612,7,7646,0,0,1,0,1
2019 12 14 04 00,0,2,20017,1,22402,0,2954,7,5938,12,23591,2,25339,0,5178,7,6553,0,1,0,1,2
2019 12 14 05 00,0,2,19216,1,19787,0,2215,7,5577,12,23204,2,23837,0,4060,7,5891,0,1,0,1,2
2019 12 14 06 00,0,2,18675,4,21051,0,1732,7,5804,2,23425,12,23563,0,3222,7,5989,0,1,0,1,2
2019 12 14 07 00,0,2,17194,4,18336,0,1555,7,6692,4,20068,5,21104,0,2761,7,6692,0,1,0,1,2
2019 12 14 08 00,4,4,14807,3,15200,0,1948,7,7408,4,16093,3,16152,0,3209,7,7408,0,1,0,1,2
2019 12 14 09 00,4,3,13026,4,13877,0,2136,7,7555,3,14013,4,15179,0,3459,7,7555,1,1,1,1,4
2019 12 14 10 00,4,3,11506,4,12861,0,2275,7,7863,3,12433,4,13955,0,3582,7,7863,1,1,1,1,4
2019 12 14 11 00,4,3,6994,4,10424,0,3175,7,8652,3,8077,4,11464,0,4821,7,8652,1,1,1,1,4
2019 12 14 12 00,4,3,4754,4,8569,0,3451,7,9239,3,5731,4,9217,0,5081,7,9239,1,1,1,1,4
2019 12 14 13 00,4,3,4677,4,8455,0,3926,7,9548,3,5785,4,9191,0,5774,7,9548,1,1,1,1,4
2019 12 14 14 00,4,3,6341,4,8491,0,4312,7,10169,3,7386,4,8901,0,6197,7,10169,1,1,1,1,4
2019 12 14 15 00,4,3,7414,4,8789,0,4323,7,10244,3,8446,4,9109,0,6227,7,10244,1,1,1,1,4
2019 12 14 16 00,6,2,10865,4,11833,0,4421,7,10602,4,11833,5,12773,0,6301,7,10602,1,1,0,1,3
2019 12 14 17 00,4,4,9619,3,10406,0,4555,7,10720,4,9619,5,10575,0,6467,7,10720,0,1,0,1,2
2019 12 14 18 00,6,2,10086,4,10466,0,4237,7,10464,4,10466,5,11352,0,6009,7,10464,1,1,0,1,3
2019 12 14 19 00,6,2,9007,4,10211,0,3417,7,9777,4,10211,5,10952,0,4899,7,9777,1,1,0,1,3
2019 12 14 20 00,6,2,7869,4,12881,0,2164,7,8725,2,10125,4,12881,0,3206,7,8725,1,1,1,1,4
2019 12 14 21 00,6,2,5444,4,13448,0,1267,7,8018,2,6952,4,13448,0,1875,7,8018,1,1,1,1,4
2019 12 14 22 00,4,2,13625,4,15117,0,1122,7,7902,4,15117,5,15390,0,1668,7,7902,0,1,0,1,2
2019 12 14 23 00,0,2,12294,1,14106,0,606,7,7487,2,14128,4,18994,0,922,7,7487,0,1,0,1,2
2019 12 15 00 00,4,3,10369,4,11489,0,384,7,7313,3,10472,4,11489,0,590,7,7313,1,1,1,1,4
2019 12 15 01 00,4,3,940,4,6974,0,1567,7,8114,3,1397,4,7106,0,2415,7,8114,1,1,1,1,4
2019 12 15 02 00,4,3,2562,4,8271,0,2436,7,8209,3,3455,4,9095,0,3810,7,8209,1,1,1,1,4
2019 12 15 03 00,4,3,2380,4,7869,0,2553,7,8509,3,3199,4,8477,0,3887,7,8509,1,1,1,1,4
2019 12 15 04 00,4,3,3747,4,7799,0,2851,7,9154,3,4487,4,7921,0,4270,7,9154,1,1,1,1,4
2019 12 15 05 00,4,3,4264,4,7422,0,4206,7,10330,3,5288,4,7422,0,6254,7,10330,1,1,1,1,4
2019 12 15 06 00,4,3,8443,4,9209,0,4937,7,10929,4,9209,3,9614,0,7279,7,10929,1,1,0,1,3
2019 12 15 07 00,4,4,13164,5,14408,0,5259,7,11185,4,13164,5,14408,0,7747,7,11185,0,1,0,1,2
2019 12 15 08 00,0,2,15443,4,15811,0,5679,7,11517,4,15811,5,17155,0,8367,7,11517,0,1,0,1,2
2019 12 15 09 00,0,1,13798,2,14748,0,5334,7,11253,2,17357,4,18348,0,7836,7,11253,1,1,0,1,3
2019 12 15 10 00,0,1,8838,2,13928,0,4343,7,10471,1,12587,2,15608,0,6363,7,10471,1,1,1,1,4
