,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2019 11 04 01 00,0,1,16495,2,19072,0,12180,7,18231,2,22853,1,24090,0,17670,7,18397,1,1,0,1,3
2019 11 04 02 00,0,2,20325,4,21979,0,6289,7,14238,4,21979,5,23452,0,9235,7,14238,0,1,0,1,2
2019 11 04 03 00,4,3,9696,4,17137,0,6937,7,10745,3,13125,6,20219,7,11147,0,11272,1,1,1,0,3
2019 11 04 04 00,40,3,11557,6,13691,7,8049,0,8134,6,14535,3,16925,7,8877,0,13979,0,1,1,1,3
2019 11 04 05 00,4,3,9253,4,16966,0,4948,7,10686,3,11658,4,20158,0,7690,7,11759,1,1,1,1,4
2019 11 04 06 00,40,6,11406,3,12376,7,7337,0,9065,6,12699,3,18699,7,8610,0,15710,1,1,1,1,4
2019 11 04 07 00,40,6,10415,3,16374,7,7248,0,12002,6,12908,7,23303,7,9963,13,15250,1,1,1,1,4
2019 11 04 08 00,4,3,8622,4,19071,0,7538,7,11438,3,12583,6,22413,0,11640,7,13660,1,1,1,1,4
2019 11 04 09 00,4,3,7324,6,16339,0,7476,7,10571,3,11258,6,17429,7,11656,0,11979,1,1,1,0,3
2019 11 04 10 00,40,6,8526,3,17992,7,7387,9,13442,6,11020,7,23434,7,10519,13,14745,1,1,1,1,4
2019 11 04 11 00,40,6,9161,3,19566,7,8102,9,13903,6,12488,7,25340,7,11902,13,15646,1,1,1,1,4
2019 11 04 12 00,40,6,3164,7,18882,7,6285,9,9015,6,4624,7,19840,13,9657,9,10155,1,1,1,0,3
2019 11 04 13 00,40,6,11723,3,15510,7,11188,0,14265,6,14101,7,22465,13,15715,7,15893,1,1,1,0,3
2019 11 04 14 00,4,3,9866,6,13716,0,10541,7,11608,3,14841,6,15218,7,15167,0,16086,1,1,1,0,3
2019 11 04 15 00,4,3,10861,6,14257,0,10900,7,11809,6,15878,3,15942,7,15702,0,16518,1,1,0,0,2
2019 11 04 16 00,4,3,9539,6,13767,0,10114,7,11328,3,14322,6,15215,7,14581,0,15517,1,1,1,0,3
2019 11 04 17 00,4,3,9688,6,12260,0,8544,7,8973,6,13365,3,14526,7,11001,0,13888,1,1,0,0,2
2019 11 04 18 00,4,3,7184,6,17317,0,7566,7,11165,3,10879,6,19196,0,11635,7,13282,1,1,1,1,4
2019 11 04 19 00,4,3,12444,6,16302,0,10827,7,10837,3,18631,6,19579,7,14299,0,17092,1,1,1,0,3
2019 11 04 20 00,40,6,11619,3,14379,7,8737,0,11781,6,14113,3,21592,7,12303,13,14889,1,1,1,1,4
2019 11 04 21 00,40,6,12851,3,19678,9,13877,13,13946,6,17527,7,25786,13,16399,9,17150,1,0,1,0,2
2019 11 04 22 00,40,6,12949,3,18188,7,12563,9,13546,6,17147,7,25266,13,15415,9,16337,1,1,1,0,3
2019 11 04 23 00,40,6,9183,3,15448,7,10484,9,13122,6,11280,7,19122,13,14424,9,15098,1,1,1,0,3
2019 11 05 00 00,4,3,11797,6,12382,7,10901,0,12085,6,14436,3,17724,7,14899,13,15825,1,0,0,0,1
2019 11 05 01 00,4,3,10951,6,18685,0,11987,7,13294,3,16505,6,22448,7,17602,0,17966,1,1,1,0,3
2019 11 05 02 00,4,3,7142,4,17910,0,7125,7,11212,3,10877,6,20950,0,11086,7,13070,1,1,1,1,4
2019 11 05 03 00,4,3,7462,4,18244,0,6774,7,11365,3,10475,7,21108,0,10172,7,13641,1,1,1,1,4
2019 11 05 04 00,4,3,13219,4,20606,0,5547,7,10129,3,16184,4,25064,0,8707,7,11593,1,1,1,1,4
2019 11 05 05 00,4,3,19505,4,21309,0,6286,7,12203,3,22186,4,24149,0,9467,7,13702,1,1,1,1,4
2019 11 05 06 00,4,4,16786,5,17763,0,6119,7,13950,4,17170,5,18147,0,8833,7,14329,0,1,0,1,2
2019 11 05 07 00,0,2,20740,4,21190,0,8164,7,15185,4,21884,5,23958,0,12058,7,15331,0,1,0,1,2
2019 11 05 08 00,4,4,19814,5,21401,0,5169,7,12402,4,20898,5,22485,0,7822,7,12421,0,1,0,1,2
2019 11 05 09 00,0,1,15102,2,18737,0,1810,7,10685,1,20698,2,21109,0,2644,7,10685,1,1,1,1,4
2019 11 05 10 00,0,1,7087,2,17689,0,1407,7,10352,1,9904,2,18726,0,2043,7,10382,1,1,1,1,4
2019 11 05 11 00,0,2,15433,1,16932,0,1580,7,10439,2,17578,1,23592,0,2284,7,10550,0,1,0,1,2
2019 11 05 12 00,4,3,15445,4,15552,0,2548,7,11139,4,15792,3,16098,0,3666,7,11275,1,1,0,1,3
