Codes W1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0,3.35,4.47,5.59,9.01,10.11,11.22,1.00,14.54,2.18,4.35,7.25,6.16,2.20,4.38,4.36,7.26,2.42,4.49,4.48,2.43,4.49,13.45,5.45,9.08,14.57,14.96,4.34,6.18,6.17,3.36
1,3.35,0,1.12,2.24,5.69,6.78,7.89,3.50,14.93,4.00,5.49,7.99,7.01,4.01,5.51,5.50,8.00,4.13,5.60,5.60,4.14,5.60,13.86,6.40,9.68,14.95,15.33,5.48,7.03,7.02,0.01
2,4.47,1.12,0,1.12,4.59,5.68,6.78,4.58,15.22,4.97,6.24,8.52,7.61,4.98,6.26,6.24,8.53,5.08,6.34,6.33,5.09,6.34,14.17,7.05,10.12,15.24,15.62,6.23,7.63,7.62,1.11
3,5.59,2.24,1.12,0,3.51,4.58,5.68,5.68,15.58,6.00,7.08,9.15,8.32,6.01,7.10,7.09,9.16,6.09,7.17,7.17,6.09,7.17,14.56,7.81,10.66,15.60,15.97,7.08,8.33,8.33,2.23
4,9.01,5.69,4.59,3.51,0,1.11,2.23,9.06,17.11,9.27,10.00,11.56,10.91,9.27,10.01,10.01,11.57,9.32,10.06,10.06,9.33,10.06,16.18,10.53,12.79,17.13,17.46,10.00,10.92,10.92,5.68
5,10.11,6.78,5.68,4.58,1.11,0,1.12,10.16,17.71,10.34,11.01,12.44,11.84,10.35,11.02,11.01,12.45,10.39,11.06,11.06,10.40,11.06,16.82,11.48,13.59,17.73,18.06,11.00,11.85,11.85,6.77
6,11.22,7.89,6.78,5.68,2.23,1.12,0,11.27,18.37,11.43,12.04,13.36,12.80,11.44,12.05,12.04,13.37,11.48,12.09,12.09,11.48,12.09,17.52,12.48,14.44,18.39,18.71,12.03,12.81,12.81,7.88
7,1.00,3.50,4.58,5.68,9.06,10.16,11.27,0,13.55,1.18,3.35,6.25,5.50,1.20,3.38,3.36,6.26,1.56,3.52,3.52,1.57,3.52,12.71,4.69,8.31,13.89,14.30,3.34,5.52,5.51,3.51
8,14.54,14.93,15.22,15.58,17.11,17.71,18.37,13.55,0,12.37,10.21,7.33,11.10,12.35,10.18,10.20,7.32,12.39,10.23,10.24,12.38,10.23,9.87,10.72,9.14,11.35,11.86,10.22,11.11,11.11,14.93
9,2.18,4.00,4.97,6.00,9.27,10.34,11.43,1.18,12.37,0,2.17,5.07,4.87,0.02,2.20,2.18,5.08,1.00,2.42,2.41,1.00,2.42,11.88,3.93,7.46,13.14,13.58,2.16,4.90,4.89,4.01
10,4.35,5.49,6.24,7.08,10.00,11.01,12.04,3.35,10.21,2.17,0,2.90,4.36,2.15,0.03,0.01,2.91,2.37,1.00,1.00,2.36,1.00,10.55,3.28,6.19,11.95,12.43,0.01,4.39,4.38,5.50
11,7.25,7.99,8.52,9.15,11.56,12.44,13.36,6.25,7.33,5.07,2.90,0,5.24,5.05,2.87,2.89,0.01,5.15,3.04,3.05,5.14,3.04,9.28,4.38,5.47,10.84,11.36,2.91,5.26,5.25,7.99
12,6.16,7.01,7.61,8.32,10.91,11.84,12.80,5.50,11.10,4.87,4.36,5.24,0,4.86,4.36,4.36,5.24,3.99,3.36,3.36,3.98,3.36,7.35,1.08,3.11,8.43,8.83,4.36,0.03,0.02,7.02
13,2.20,4.01,4.98,6.01,9.27,10.35,11.44,1.20,12.35,0.02,2.15,5.05,4.86,0,2.18,2.16,5.06,1.00,2.40,2.39,1.00,2.40,11.87,3.92,7.44,13.13,13.57,2.14,4.89,4.88,4.02
14,4.38,5.51,6.26,7.10,10.01,11.02,12.05,3.38,10.18,2.20,0.03,2.87,4.36,2.18,0,0.02,2.88,2.40,1.00,1.00,2.39,1.00,10.53,3.28,6.18,11.93,12.41,0.04,4.39,4.38,5.52
15,4.36,5.50,6.24,7.09,10.01,11.01,12.04,3.36,10.20,2.18,0.01,2.89,4.36,2.16,0.02,0,2.90,2.38,1.00,1.00,2.37,1.00,10.55,3.28,6.19,11.94,12.42,0.02,4.39,4.38,5.50
