Code_W1,y_precipitation,z_orage,v_visibilite,g_grele,b_brouillardgivrant,p_pluieverglas
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,3.35,0.0,0.0,0.0
2.0,0.0,0.0,4.47,0.0,0.0,0.0
3.0,0.0,0.0,5.59,0.0,0.0,0.0
4.0,0.0,0.0,8.95,0.0,1.0,0.0
5.0,0.0,0.0,10.06,0.0,1.0,0.0
6.0,0.0,0.0,11.18,0.0,1.0,0.0
7.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,14.51,0.0,0.0,0.0,0.0,1.0
9.0,2.18,0.0,0.0,0.0,0.0,0.0
10.0,4.35,0.0,0.0,0.0,0.0,0.0
11.0,7.25,0.0,0.0,0.0,0.0,0.0
12.0,4.35,4.36,0.0,0.0,0.0,0.0
13.0,2.2,0.0,0.0,0.0,0.0,0.0
14.0,4.38,0.0,0.0,0.0,0.0,0.0
16.0,4.36,0.0,0.0,0.0,0.0,0.0
17.0,7.26,0.0,0.0,0.0,0.0,0.0
18.0,2.2,1.0,0.0,0.0,0.0,0.0
19.0,4.38,1.0,0.0,0.0,0.0,0.0
20.0,4.37,1.0,0.0,0.0,0.0,0.0
21.0,2.21,1.0,0.0,0.0,0.0,0.0
22.0,4.38,1.0,0.0,0.0,0.0,0.0
23.0,10.16,8.75,0.0,1.0,0.0,0.0
24.0,4.35,3.28,0.0,0.0,0.0,0.0
25.0,7.25,5.47,0.0,0.0,0.0,0.0
28.0,10.16,10.39,0.0,1.0,0.0,0.0
29.0,10.16,10.94,0.0,1.0,0.0,0.0
30.0,4.34,0.0,0.0,0.0,0.0,0.0
31.0,4.35,4.39,0.0,0.0,0.0,0.0
32.0,4.35,4.38,0.0,0.0,0.0,0.0
33.0,0.0,0.0,3.36,0.0,0.0,0.0
