,zone_winning,zw_agat_asym,zone_comp,zc_agat_asym,zone_winning_2,zw2_agat_asym,zone_winning_comp,zwc_agat_asym,zone_comp_winning,zcw_agat_asym,zone_comp_comp,zc2_agat_asym
0,3402+3404,21,3401+3403+3405+3406+3407+3408+3481+3482+3483,7,3402+3404,21,,,3401+3403+3407+3405+3408,7,3406+3481+3482+3483,0
1,3401+3403+3406+3407+3408+3483+3481+3482,7,3402+3404+3405,21,,,,,3402+3404+3405,21,,
2,3401+3402+3404+3405+3408,13,3403+3406+3407+3481+3482+3483,0,3401+3402+3404+3405+3408,13,,,3403,7,3406+3407+3481+3482+3483,0
3,3403+3406+3481+3482+3483,0,3401+3402+3404+3405+3407+3408,7,,,,,3401+3402+3404+3405+3407+3408,7,,
4,3401+3402+3403+3406+3408+3483+3481+3482,7,3404+3405+3407,13,,,,,3404+3405+3407,13,,
5,3401+3402+3404+3403+3406+3481,7,3405+3407+3408+3482+3483,19,3401+3402+3404,7,3403+3406+3481,0,3405+3407+3408+3482+3483,19,,
6,3408+3483,24,3401+3402+3403+3404+3405+3406+3407+3481+3482,7,3408+3483,24,,,3401+3402+3404+3405+3407+3482,7,3403+3406+3481,0
7,3402+3405+3408+3482+3483,13,3401+3403+3404+3406+3407+3481,0,3402+3405+3408+3482+3483,13,,,3401,7,3403+3404+3406+3407+3481,0
8,3403+3404+3406+3407+3481+3482,0,3401+3402+3405+3408+3483,7,,,,,3401+3402+3405+3408+3483,7,,
9,3403+3404+3406+3407+3481+3482+3483,0,3401+3402+3405+3408,7,,,,,3401+3402+3405+3408,7,,
10,3401,7,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,0,,,,,,,,
11,3401,7,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,0,,,,,,,,
12,3401,7,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,0,,,,,,,,
13,3401+3403+3402+3405,0,3404+3406+3407+3408+3481+3482+3483,0,,,,,,,,
14,3404,0,3401+3402+3403+3405+3406+3407+3408+3481+3482+3483,0,,,,,,,,
15,3407,0,3401+3402+3403+3404+3405+3406+3408+3481+3482+3483,0,,,,,,,,
16,3401,1,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,0,,,,,,,,
17,3401,2,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,0,,,,,,,,
18,3401,2,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,0,,,,,,,,
19,3401,2,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,0,,,,,,,,
20,3401,7,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,0,,,,,,,,
21,3405,7,3401+3402+3403+3404+3406+3407+3408+3481+3482+3483,0,,,,,,,,
22,3405,7,3401+3402+3403+3404+3406+3407+3408+3481+3482+3483,0,,,,,,,,
23,3405,1,3401+3402+3403+3404+3406+3407+3408+3481+3482+3483,0,,,,,,,,
