,zone_winning,zw_agat,zone_comp,zc_agat,zone_winning_2,zw2_agat,zone_winning_comp,zwc_agat,zone_comp_winning,zcw_agat,zone_comp_comp,zc2_agat
0,4101+4102+4103+4104+4105,3,4106,1,4101+4102+4103+4104+4105,3,,,,,,
1,4101+4102+4103+4104+4105,3,4106,1,4101+4102+4103+4104+4105,3,,,,,,
2,4101+4102+4103+4104+4105,3,4106,0,4101+4102+4103+4104+4105,3,,,,,,
3,4102+4103+4104+4105,2,4101+4106,0,4102+4103+4104+4105,2,,,4101,7,4106,0
4,4101+4102+4103+4104,7,4105+4106,0,4101+4102+4103+4104,7,,,4105+4106,0,,0
5,4103+4104+4105+4106,0,4101+4102,2,4103+4104,9,4105+4106,0,4101+4102,2,,
6,4102+4103+4105+4106,0,4101+4104,1,4102+4103,7,4105+4106,0,4101,1,4104,0
7,4106,0,4101+4102+4103+4104+4105,7,,,,,4101+4102+4103+4104+4105,7,,
8,4103+4104+4105+4106,7,4101+4102,2,4103+4104+4105+4106,7,,,4101+4102,2,,
9,4104+4105+4106,7,4101+4102+4103,1,,,,,4101+4102+4103,1,,
10,4104+4105+4106,7,4101+4102+4103,1,4104+4105+4106,7,,,4101+4102+4103,1,,
11,4102+4103+4104+4105+4106,1,4101,2,4102+4103+4104+4106,1,4105,0,,,,
12,4102+4103+4104+4105+4106,0,4101,1,4102+4103+4104+4105+4106,0,,0,,,,
13,4102,0,4101+4103+4104+4105+4106,0,,,,,,,,
14,4101,0,4102+4103+4104+4105+4106,0,,,,,,,,
15,4101,0,4102+4103+4104+4105+4106,0,,,,,,,,
16,departement,0,4102+4103+4104+4105+4106,0,,,,,,,,
17,departement,0,4102+4103+4104+4105+4106,0,,,,,,,,
18,4101,0,4102+4103+4104+4105+4106,0,,,,,,,,
19,4102+4103+4104+4105+4106,0,4101,7,,,,,,,,
20,4101+4102,7,4103+4104+4105+4106,0,,,,,,,,
21,4104,7,4101+4102+4103+4105+4106,7,,,,,,,,
22,4101+4102,9,4103+4104+4105+4106,7,,,,,,,,
23,4102+4103+4104+4105,9,4101+4106,7,,,,,,,,
24,4101+4102+4103,7,4104+4105+4106,9,,,,,,,,
25,4105+4106,9,4101+4102+4103+4104,7,,,,,,,,
26,4101+4102+4103,7,4104+4105+4106,9,4101+4102+4103,7,,,,,,
27,4104+4106,9,4101+4102+4103+4105,7,4104+4106,9,,,4101+4102+4103,7,4105,0
28,4101+4102+4103+4104+4105,7,4106,9,,,,,,,,
29,4102+4103+4104+4105,0,4101+4106,7,,,,,,,,
30,4102+4103+4104+4105+4106,0,4101,7,,,,,,,,
31,4101,7,4102+4103+4104+4105+4106,0,,,,,,,,
32,4101,7,4102+4103+4104+4105+4106,0,,,,,,,,
33,4101+4102,7,4103+4104+4105+4106,0,,,,,,,,
34,4101+4102+4103+4105+4106,7,4104,18,,,,,,,,
35,4102+4103+4104,9,4101+4105+4106,7,4102+4103+4104,9,,,4105+4106,7,4101,0
36,4104+4106,7,4101+4102+4103+4105,9,,,,,,,,
37,4101,9,4102+4103+4104+4105+4106,9,,,,,,,,
38,4102+4103+4106,10,4101+4104+4105,9,4102+4103+4106,10,,,4101,9,4104+4105,0
39,4103,10,4101+4102+4104+4105+4106,9,,,,,,,,
40,4102+4103+4104,9,4101+4105+4106,7,4102+4103+4104,9,,,,,,
41,4104+4105+4106,7,4101+4102+4103,9,,,,,4101+4102+4103,9,,
42,4102+4103+4104+4105+4106,7,4101,9,,,,,,,,
43,4102,18,4101+4103+4104+4105+4106,7,,,,,,,,
44,4103+4104+4105+4106,7,4101+4102,0,4103+4104+4105+4106,7,,,4101+4102,0,,0
45,4102+4103+4104+4105+4106,7,4101,19,4102+4103+4104+4105+4106,7,,,,,,
46,4105,0,4101+4102+4103+4104+4106,7,,,,,4101+4102+4103+4104+4106,7,,
47,4102+4103+4104,0,4101+4105+4106,7,4102+4103+4104,0,,0,4105+4106,7,4101,0
