,zone_winning,zw_compas,zone_comp,zc_compas,zone_winning_2,zw2_compas,zone_winning_comp,zwc_compas,zone_comp_winning,zcw_compas,zone_comp_comp,zc2_compas
0,4101,4,4102+4103+4104+4105+4106,4,,,,,,,,
1,4101,4,4102+4103+4104+4105+4106,4,,,,,,,,
2,4101+4102+4103+4104+4105,4,4106,3,4101+4102+4103+4104+4105,3.0,,3.0,,,,
3,4103+4104+4105+4106,4,4101+4102,3,4103+4104+4105+4106,3.0,,3.0,4102,1.0,4101,5.0
4,4103,12,4101+4102+4104+4105+4106,3,,,,,4101,5.0,,2.0
5,4103,6,4101+4102+4104+4105+4106,3,,,,,4101+4102,3.0,4104+4105+4106,2.0
6,4102+4103,6,4101+4104+4105+4106,3,4102+4103,5.0,,5.0,4105+4106,2.0,,3.0
7,4106,3,4101+4102+4103+4104+4105,6,,,,,4101+4102+4103+4104+4105,5.0,,5.0
8,4103+4104+4105+4106,6,4101+4102,4,4103+4104+4105+4106,5.0,,5.0,,,,
9,4104+4105+4106,6,4101+4102+4103,4,,,,,4103,2.0,4101+4102,3.0
10,4104+4105+4106,6,4101+4102+4103,4,4105+4106,5.0,4104,2.0,4101+4102,3.0,4103,2.0
11,4105+4106,3,4101+4102+4103+4104,4,4105+4106,2.0,,2.0,,,,
12,4102+4103+4104+4105+4106,3,4101,4,,,,,,,,
13,4101,3,4102+4103+4104+4105+4106,3,,,,,,,,
14,4101,3,4102+4103+4104+4105+4106,3,,,,,4102+4103+4104+4105+4106,2.0,,2.0
15,4101,3,4102+4103+4104+4105+4106,3,,,,,,,,
16,4101,3,4102+4103+4104+4105+4106,3,,,,,,,,
17,4101,3,4102+4103+4104+4105+4106,3,,,,,,,,
18,4101,3,4102+4103+4104+4105+4106,3,,,,,,,,
19,4102+4103+4104+4105+4106,3,4101,6,,,,,,,,
20,4101+4102,6,4103+4104+4105+4106,3,,,,,,,,
21,4101,6,4102+4103+4104+4105+4106,6,,,,,4102+4103+4104+4105+4106,5.0,,5.0
22,4101,6,4102+4103+4104+4105+4106,6,,,,,,,,
23,4101,6,4102+4103+4104+4105+4106,6,,,,,,,,
24,4105,8,4101+4102+4103+4104+4106,6,,,,,,,,
25,4101,6,4102+4103+4104+4105+4106,6,,,,,,,,
26,4101,6,4102+4103+4104+4105+4106,6,,,,,,,,
27,4101,6,4102+4103+4104+4105+4106,6,,,,,4102+4103+4104+4105+4106,5.0,,5.0
28,4101,6,4102+4103+4104+4105+4106,6,,,,,4102+4103+4104+4105+4106,5.0,,5.0
29,4102+4103+4104+4105,3,4101+4106,6,4102+4103+4104+4105,2.0,,2.0,4101+4106,5.0,,5.0
30,4102+4103+4104+4105+4106,3,4101,6,,,,,,,,
31,4101,6,4102+4103+4104+4105+4106,3,,,,,,,,
32,4101,6,4102+4103+4104+4105+4106,3,,,,,4102+4103+4104+4105+4106,2.0,,2.0
33,4101+4102,6,4103+4104+4105+4106,3,,,,,4103+4104+4105+4106,2.0,,2.0
34,4101+4102+4103+4105+4106,6,4104,12,4101+4102+4103+4105+4106,5.0,,5.0,,,,
35,4101,6,4102+4103+4104+4105+4106,6,,,,,4102+4103+4104+4105+4106,5.0,,5.0
36,4101,6,4102+4103+4104+4105+4106,6,,,,,,,,
37,4101,6,4102+4103+4104+4105+4106,6,,,,,,,,
38,4102+4103+4106,8,4101+4104+4105,6,4102+4103+4106,7.0,,7.0,4101+4104+4105,5.0,,5.0
39,4103,8,4101+4102+4104+4105+4106,6,,,,,,,,
40,4101,6,4102+4103+4104+4105+4106,6,,,,,,,,
41,4101,6,4102+4103+4104+4105+4106,6,,,,,,,,
42,4101,6,4102+4103+4104+4105+4106,6,,,,,,,,
43,4102,12,4101+4103+4104+4105+4106,6,,,,,,,,
44,4103+4104+4105+4106,6,4101+4102,3,4103+4104+4105+4106,5.0,,5.0,4101+4102,2.0,,2.0
45,4102+4103+4104+4105+4106,6,4101,8,4102+4103+4104+4105+4106,5.0,,5.0,,,,
46,4102+4103+4104+4106,6,4101+4105,3,4102+4103+4104+4106,5.0,,5.0,4101+4105,2.0,,2.0
47,4102+4103+4104,3,4101+4105+4106,6,4102+4103+4104,2.0,,2.0,4101+4105+4106,5.0,,5.0
